Region,Country,Year,Population,Area (sq. km.),Density (persons per sq. km.)
Less Developed Countries (LDCs),Marshall Islands,2020,77917,181,430.5
Less Developed Countries (LDCs),Mauritania,2020,4005475,1030700,3.9
Less Developed Countries (LDCs),Mauritius,2020,1379365,2030,679.5
Less Developed Countries (LDCs),Mexico,2020,128649565,1943945,66.2
Less Developed Countries (LDCs),"Micronesia, Federated States of",2020,102436,702,145.9
Less Developed Countries (LDCs),Mongolia,2020,3168026,1553556,2
Less Developed Countries (LDCs),Montserrat,2020,5373,102,52.7
Less Developed Countries (LDCs),Morocco,2020,35561654,446300,79.7
Less Developed Countries (LDCs),Mozambique,2020,30098197,786380,38.3
Less Developed Countries (LDCs),Namibia,2020,2630073,823290,3.2
Less Developed Countries (LDCs),Nauru,2020,9785,21,466
Less Developed Countries (LDCs),Nepal,2020,30327877,143351,211.6
Less Developed Countries (LDCs),New Caledonia,2020,290009,18275,15.9
Less Developed Countries (LDCs),Nicaragua,2020,6203441,119990,51.7
Less Developed Countries (LDCs),Niger,2020,22772361,1266700,18
Less Developed Countries (LDCs),Nigeria,2020,214028302,910768,235
Less Developed Countries (LDCs),Northern Mariana Islands,2020,51433,472,108.9
Less Developed Countries (LDCs),Oman,2020,3634689,309500,11.7
Less Developed Countries (LDCs),Pakistan,2020,233500636,770875,302.9
Less Developed Countries (LDCs),Palau,2020,21685,459,47.2
Less Developed Countries (LDCs),Panama,2020,3894082,74340,52.4
Less Developed Countries (LDCs),Papua New Guinea,2020,7259456,452860,16
Less Developed Countries (LDCs),Paraguay,2020,7191685,397302,18.1
Less Developed Countries (LDCs),Peru,2020,31914989,1279996,24.9
Less Developed Countries (LDCs),Philippines,2020,109180815,298170,366.2
Less Developed Countries (LDCs),Puerto Rico,2020,3189068,8869,359.6
Less Developed Countries (LDCs),Qatar,2020,2444174,11586,211
Less Developed Countries (LDCs),Rwanda,2020,12712431,24668,515.3
Less Developed Countries (LDCs),Saint Barthelemy,2020,7122,25,284.9
Less Developed Countries (LDCs),"Saint Helena, Ascension, and Tristan da Cunha",2020,7862,394,20
Less Developed Countries (LDCs),Saint Kitts and Nevis,2020,53821,261,206.2
Less Developed Countries (LDCs),Saint Lucia,2020,166487,606,274.7
Less Developed Countries (LDCs),Saint Martin,2020,32556,54,598.5
Less Developed Countries (LDCs),Saint Vincent and the Grenadines,2020,101390,389,260.6
Less Developed Countries (LDCs),Samoa,2020,203774,2821,72.2
Less Developed Countries (LDCs),Sao Tome and Principe,2020,211122,964,219
Less Developed Countries (LDCs),Saudi Arabia,2020,34173498,2149690,15.9
Less Developed Countries (LDCs),Senegal,2020,15736368,192530,81.7
Less Developed Countries (LDCs),Seychelles,2020,95981,455,210.9
Less Developed Countries (LDCs),Sierra Leone,2020,6624933,71620,92.5
Less Developed Countries (LDCs),Singapore,2020,6209660,709,8755.9
Less Developed Countries (LDCs),Sint Maarten,2020,43847,34,1289.6
Less Developed Countries (LDCs),Solomon Islands,2020,685097,27986,24.5
Less Developed Countries (LDCs),Somalia,2020,11757124,627337,18.7
Less Developed Countries (LDCs),South Africa,2020,56463617,1214470,46.5
Less Developed Countries (LDCs),South Sudan,2020,10561244,644329,16.4
Less Developed Countries (LDCs),Sri Lanka,2020,22889201,64630,354.2
Less Developed Countries (LDCs),Sudan,2020,45561556,1861484,24.5
Less Developed Countries (LDCs),Suriname,2020,609569,156000,3.9
Less Developed Countries (LDCs),Syria,2020,19398448,185887,104.4
Less Developed Countries (LDCs),Taiwan,2020,23603049,32260,731.7
Less Developed Countries (LDCs),Tajikistan,2020,8873669,141510,62.7
Less Developed Countries (LDCs),Tanzania,2020,58552845,885800,66.1
Less Developed Countries (LDCs),Thailand,2020,68977400,510890,135
Less Developed Countries (LDCs),Timor-Leste,2020,1383723,14874,93
Less Developed Countries (LDCs),Togo,2020,8608444,54385,158.3
Less Developed Countries (LDCs),Tonga,2020,106095,717,148
Less Developed Countries (LDCs),Trinidad and Tobago,2020,1208789,5128,235.7
Less Developed Countries (LDCs),Tunisia,2020,11721177,155360,75.4
Less Developed Countries (LDCs),Turkey,2020,82017514,769632,106.6
Less Developed Countries (LDCs),Turkmenistan,2020,5528627,469930,11.8
Less Developed Countries (LDCs),Turks and Caicos Islands,2020,55926,948,59
Less Developed Countries (LDCs),Tuvalu,2020,11342,26,436.2
Less Developed Countries (LDCs),Uganda,2020,43252966,197100,219.4
Less Developed Countries (LDCs),United Arab Emirates,2020,9992083,83600,119.5
Less Developed Countries (LDCs),Uruguay,2020,3387605,175015,19.4
Less Developed Countries (LDCs),Uzbekistan,2020,30565411,425400,71.9
Less Developed Countries (LDCs),Vanuatu,2020,298333,12189,24.5
Less Developed Countries (LDCs),Venezuela,2020,28644603,882050,32.5
Less Developed Countries (LDCs),Vietnam,2020,98721275,310070,318.4
Less Developed Countries (LDCs),"Virgin Islands, British",2020,37381,151,247.6
Less Developed Countries (LDCs),"Virgin Islands, U.S.",2020,106235,348,305.3
Less Developed Countries (LDCs),Wallis and Futuna,2020,15854,142,111.6
Less Developed Countries (LDCs),West Bank,2020,2900034,5640,514.2
Less Developed Countries (LDCs),Western Sahara,2020,652271,266000,2.5
Less Developed Countries (LDCs),Yemen,2020,29884405,527968,56.6
Less Developed Countries (LDCs),Zambia,2020,17426623,743398,23.4
Less Developed Countries (LDCs),Zimbabwe,2020,14546314,386847,37.6
Custom Region,Aggregated,2020,7684292383,131815698,58.3
Custom Region,Afghanistan,2020,36643815,652230,56.2
Custom Region,Albania,2020,3074579,27398,112.2
Custom Region,Algeria,2020,42972878,2381740,18
Custom Region,American Samoa,2020,49437,198,250
Custom Region,Andorra,2020,85635,468,183
Custom Region,Angola,2020,32522339,1246700,26.1
Custom Region,Anguilla,2020,18090,91,198.8
Custom Region,Antigua and Barbuda,2020,98179,443,221.8
Custom Region,Argentina,2020,45479118,2736690,16.6
Custom Region,Armenia,2020,3021324,28203,107.1
Custom Region,Aruba,2020,119428,180,663.5
Custom Region,Australia,2020,25466459,7682300,3.3
Custom Region,Austria,2020,8859449,82445,107.5
Custom Region,Azerbaijan,2020,10205810,82629,123.5
Custom Region,"Bahamas, The",2020,337721,10010,33.7
Custom Region,Bahrain,2020,1505003,760,1980.3
Custom Region,Bangladesh,2020,162650853,130170,1249.5
Custom Region,Barbados,2020,294560,430,685
Custom Region,Belarus,2020,9477918,202900,46.7
Custom Region,Belgium,2020,11720716,30278,387.1
Custom Region,Belize,2020,399598,22806,17.5
Custom Region,Benin,2020,12864634,110622,116.3
Custom Region,Bermuda,2020,71750,54,1328.7
Custom Region,Bhutan,2020,782318,38394,20.4
Custom Region,Bolivia,2020,11639909,1083301,10.7
Custom Region,Bosnia and Herzegovina,2020,3835586,51187,74.9
Custom Region,Botswana,2020,2317233,566730,4.1
Custom Region,Brazil,2020,211715973,8358140,25.3
Custom Region,Brunei,2020,464478,5265,88.2
Custom Region,Bulgaria,2020,6966899,108489,64.2
Custom Region,Burkina Faso,2020,20835401,273800,76.1
Custom Region,Burma,2020,56590071,653508,86.6
Custom Region,Burundi,2020,11865821,25680,462.1
Custom Region,Cabo Verde,2020,583255,4033,144.6
Custom Region,Cambodia,2020,16926984,176515,95.9
Custom Region,Cameroon,2020,27744989,472710,58.7
Custom Region,Canada,2020,37694085,9093507,4.1
Custom Region,Cayman Islands,2020,61944,264,234.6
Custom Region,Central African Republic,2020,5990855,622984,9.6
Custom Region,Chad,2020,16877357,1259200,13.4
Custom Region,Chile,2020,18186770,743812,24.5
Custom Region,China,2020,1394015977,9326410,149.5
Custom Region,Colombia,2020,49084841,1038700,47.3
Custom Region,Comoros,2020,846281,2235,378.6
Custom Region,Congo (Brazzaville),2020,5293070,341500,15.5
Custom Region,Congo (Kinshasa),2020,101780263,2267048,44.9
Custom Region,Cook Islands,2020,8574,236,36.3
Custom Region,Costa Rica,2020,5097988,51060,99.8
Custom Region,Cote d'Ivoire,2020,27481086,318003,86.4
Custom Region,Croatia,2020,4227746,55974,75.5
Custom Region,Cuba,2020,11059062,109820,100.7
Custom Region,Curacao,2020,151345,444,340.9
Custom Region,Cyprus,2020,1266676,9241,137.1
Custom Region,Czechia,2020,10702498,77247,138.5
Custom Region,Denmark,2020,5869410,42434,138.3
Custom Region,Djibouti,2020,921804,23180,39.8
Custom Region,Dominica,2020,74243,751,98.9
Custom Region,Dominican Republic,2020,10499707,48320,217.3
Custom Region,Ecuador,2020,16904867,276841,61.1
Custom Region,Egypt,2020,104124440,995450,104.6
Custom Region,El Salvador,2020,6481102,20721,312.8
Custom Region,Equatorial Guinea,2020,836178,28051,29.8
Custom Region,Eritrea,2020,6081196,101000,60.2
Custom Region,Estonia,2020,1228624,42388,29
Custom Region,Eswatini,2020,1104479,17204,64.2
Custom Region,Ethiopia,2020,108113150,1096570,98.6
Custom Region,Faroe Islands,2020,51628,1393,37.1
Custom Region,Fiji,2020,935974,18274,51.2
Custom Region,Finland,2020,5571665,303815,18.3
Custom Region,France,2020,67848156,640427,105.9
Custom Region,French Polynesia,2020,295121,3827,77.1
Custom Region,Gabon,2020,2230908,257667,8.7
